company,type
BSH Group,Category A
Danone,Category A
Siemens Healthineers,Category A
Sulzer,Category A
BASF,Category A
Deutsche Telekom,Category A
KION Group,Category A
Maersk,Category A
Alfa Laval,Category A
Boeing,Category A
Campbell Foods,Category A
Carlsberg,Category A
Clariant,Category A
Coca Cola,Category A
Colgate Palmolive,Category A
Covestro,Category A
Daimler Truck,Category A
Dow,Category A
Dow Chemical Company,Category A
DSM Firmenich,Category A
DuPont,Category A
Eastman Chemical,Category A
Evonik,Category A
Ferrari,Category A
Forvia,Category A
GE Aerospace,Category A
Goodyear,Category A
Haier,Category A
Heineken,Category A
HP,Category A
Huawei,Category A
Jacobs Douwe Egberts,Category A
Kellanova,Category A
Kimberly Clark,Category A
Knorr Bremse,Category A
Kraft Heinz,Category A
Lenovo,Category A
LG Electronics,Category A
Logitech,Category A
Lyft,Category A
Mann Hummel,Category A
Mars,Category A
Mclaren Automotive,Category A
Mercedes Benz,Category A
Meta,Category A
Michelin,Category A
Miele,Category A
Mondelez,Category A
NASA,Category A
Nestle,Category A
Nokia,Category A
Novo Nordisk,Category A
Reckitt,Category A
Rolls Royce,Category A
Scania,Category A
Stora Enso,Category A
W.L. Gore,Category A
Walmart,Category A
Whirlpool,Category A
Zalando,Category A
PepsiCo,Category A
3M,Category A
ABB,Category A
Adobe,Category A
Airbnb,Category A
Adidas,Category A
Airbus,Category A
Amazon,Category A
Apple,Category A
Audi,Category A
BASF,Category A
Beiersdorf,Category A
Bentley Motors,Category A
BMW,Category A
Bosch,Category A
Coca-Cola,Category A
Continental,Category A
Daimler,Category A
Danone,Category A
DSM,Category A
Electrolux,Category A
Enel,Category A
Engie,Category A
Ericsson,Category A
Evonik,Category A
GE Renewable Energy,Category A
Facebook/Meta,Category A
Fiat Chrysler Automobiles/Stellantis,Category A
Ford,Category A
GE,Category A
Rolls-Royce,Category A
General Motors,Category A
Google,Category A
Groupe PSA/Stellantis,Category A
Schaeffler,Category A
Heineken,Category A
Henkel,Category A
Ikea,Category A
Jaguar Land Rover,Category A
GE Healthcare,Category A
Lego,Category A
L'Oreal,Category A
Mars,Category A
Microsoft,Category A
Nestle,Category A
Netflix,Category A
Nike,Category A
Nissan,Category A
PepsiCo,Category A
Johnson & Johnson,Category A
Porsche,Category A
Procter & Gamble,Category A
Renault,Category A
Philips,Category A
Samsung,Category A
Siemens,Category A
GE Power,Category A
Schneider Electric,Category A
Signify,Category A
Spotify,Category A
Starbucks,Category A
Tesla,Category A
Tetra Pak,Category A
Thales,Category A
Thales Alenia Space,Category A
Toyota,Category A
Twitter / X,Category A
Uber,Category A
Unilever,Category A
Volkswagen,Category A
Volvo Cars,Category A
Volvo Group,Category A
Walt Disney,Category A
